"filename", "language", "Python", "TOML", "Markdown", "LaTeX", "JSON", "comment", "blank", "total"
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\README.md", "Markdown", 0, 0, 551, 0, 0, 0, 166, 717
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\1_armadura_sencilla.py", "Python", 26, 0, 0, 0, 0, 0, 11, 37
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\3_portico_2_aguas.py", "Python", 20, 0, 0, 0, 0, 1, 9, 30
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\3_portico_3_niveles copy.py", "Python", 35, 0, 0, 0, 0, 3, 11, 49
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\3_portico_3_niveles.py", "Python", 35, 0, 0, 0, 0, 0, 10, 45
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\4.1_muro_alba.py", "Python", 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\4.2_portico_inclinado_brazo.py", "Python", 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\4.3_aguas_model.py", "Python", 22, 0, 0, 0, 0, 0, 9, 31
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\4_portico_2_aguas_v2.py", "Python", 21, 0, 0, 0, 0, 1, 9, 31
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\5_asentamientos.py", "Python", 17, 0, 0, 0, 0, 7, 3, 27
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\6_elastic_suports.py", "Python", 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\MODELOS.py", "Python", 208, 0, 0, 0, 0, 41, 61, 310
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\WallPortal_Offset copy.py", "Python", 41, 0, 0, 0, 0, 0, 8, 49
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\WallPortal_Offset.py", "Python", 41, 0, 0, 0, 0, 0, 8, 49
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\amaduras.py", "Python", 37, 0, 0, 0, 0, 1, 12, 50
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\end_length_offset.py", "Python", 195, 0, 0, 0, 0, 33, 47, 275
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\icono.py", "Python", 25, 0, 0, 0, 0, 0, 14, 39
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\local_axis_node.py", "Python", 28, 0, 0, 0, 0, 7, 0, 35
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\param_portal.py", "Python", 132, 0, 0, 0, 0, 5, 22, 159
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\param_portal_mod.py", "Python", 44, 0, 0, 0, 0, 2, 4, 50
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\param_truss.py", "Python", 97, 0, 0, 0, 0, 6, 24, 127
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\portal.py", "Python", 49, 0, 0, 0, 0, 0, 16, 65
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\portal2D.py", "Python", 65, 0, 0, 0, 0, 4, 4, 73
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\portal3_releases.py", "Python", 37, 0, 0, 0, 0, 0, 11, 48
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\releases.ipynb", "JSON", 0, 0, 0, 0, 907, 0, 1, 908
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\suport_k.py", "Python", 33, 0, 0, 0, 0, 0, 1, 34
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\frames\viga_elastica.py", "Python", 29, 0, 0, 0, 0, 0, 7, 36
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\membranas\WallPortal_MQ6.py", "Python", 48, 0, 0, 0, 0, 3, 8, 59
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\membranas\WallPortal_MQ6I.py", "Python", 48, 0, 0, 0, 0, 3, 8, 59
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\membranas\WallPortal_MQ6IMod.py", "Python", 50, 0, 0, 0, 0, 0, 8, 58
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\membranas\WallPortal_cst.py", "Python", 56, 0, 0, 0, 0, 0, 5, 61
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\membranas\beamCSI.py", "Python", 34, 0, 0, 0, 0, 0, 11, 45
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\membranas\mq6i_local.py", "Python", 37, 0, 0, 0, 0, 61, 14, 112
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\membranas\muro_libro.py", "Python", 38, 0, 0, 0, 0, 22, 11, 71
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\membranas\testMembQ6 copy.py", "Python", 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\membranas\testMembQ6.py", "Python", 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\membranas\test_conver.py", "Python", 98, 0, 0, 0, 0, 14, 19, 131
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy-0.2.4\milcapy\elements\MQ6.py", "Python", 293, 0, 0, 0, 0, 9, 49, 351
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\__init__.py", "Python", 49, 0, 0, 0, 0, 0, 9, 58
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\analysis\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\analysis\linear_static.py", "Python", 233, 0, 0, 0, 0, 75, 83, 391
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\analysis\manager.py", "Python", 74, 0, 0, 0, 0, 11, 18, 103
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\core\node.py", "Python", 79, 0, 0, 0, 0, 6, 19, 104
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\core\results.py", "Python", 238, 0, 0, 0, 0, 3, 82, 323
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\CST.py", "Python", 117, 0, 0, 0, 0, 2, 18, 137
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\MQ6.py", "Python", 293, 0, 0, 0, 0, 9, 49, 351
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\MQ6I.py", "Python", 227, 0, 0, 0, 0, 13, 27, 267
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\MQ6IMod.py", "Python", 51, 0, 0, 0, 0, 5, 7, 63
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\member.py", "Python", 319, 0, 0, 0, 0, 9, 62, 390
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\quad4.py", "Python", 169, 0, 0, 0, 0, 2, 27, 198
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\quad8.py", "Python", 262, 0, 0, 0, 0, 12, 25, 299
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\truss.py", "Python", 116, 0, 0, 0, 0, 0, 17, 133
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\loads\__init__.py", "Python", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\loads\load.py", "Python", 961, 0, 0, 0, 0, 1, 139, 1101
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\loads\load_pattern.py", "Python", 378, 0, 0, 0, 0, 1, 71, 450
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\material\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\material\material.py", "Python", 54, 0, 0, 0, 0, 0, 15, 69
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\model\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\model\model.py", "Python", 1400, 0, 0, 0, 0, 99, 267, 1766
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\UIdisplay.py", "Python", 735, 0, 0, 0, 0, 62, 133, 930
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\load.py", "Python", 280, 0, 0, 0, 0, 104, 70, 454
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\options.py", "Python", 375, 0, 0, 0, 0, 32, 64, 471
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\plotter.py", "Python", 1817, 0, 0, 0, 0, 164, 224, 2205
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\plotter_values.py", "Python", 174, 0, 0, 0, 0, 11, 34, 219
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\suports.py", "Python", 282, 0, 0, 0, 0, 10, 31, 323
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\utils.py", "Python", 78, 0, 0, 0, 0, 6, 20, 104
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\widgets.py", "Python", 397, 0, 0, 0, 0, 59, 116, 572
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\CST_pp.py", "Python", 44, 0, 0, 0, 0, 0, 11, 55
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\membranebQ6.py", "Python", 1, 0, 0, 0, 0, 0, 7, 8
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\post_processing.py", "Python", 170, 0, 0, 0, 0, 7, 44, 221
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\segment_member.py", "Python", 304, 0, 0, 0, 0, 29, 73, 406
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\report\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\report\cap1.tex", "LaTeX", 0, 0, 0, 117, 0, 0, 16, 133
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\report\cap2.tex", "LaTeX", 0, 0, 0, 29, 0, 0, 13, 42
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\report\main.tex", "LaTeX", 0, 0, 0, 61, 0, 30, 23, 114
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\report\report.py", "Python", 16, 0, 0, 0, 0, 4, 7, 27
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\section\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\section\section.py", "Python", 256, 0, 0, 0, 0, 0, 48, 304
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\utils\__init__.py", "Python", 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\utils\element.py", "Python", 218, 0, 0, 0, 0, 14, 52, 284
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\utils\geometry.py", "Python", 78, 0, 0, 0, 0, 0, 28, 106
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\utils\types.py", "Python", 89, 0, 0, 0, 0, 2, 28, 119
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\pyproject.toml", "TOML", 0, 24, 0, 0, 0, 0, 5, 29
"Total", "-", 12431, 24, 551, 207, 907, 1005, 2624, 17749